"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-01 00:00","2024","03","01","00:00","","-9.8","","-14.5","","68","","","","30","","21","","","","101.23","","","","-18","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-01 01:00","2024","03","01","01:00","","-10.0","","-17.1","","56","","","","29","","16","","","","101.29","","","","-17","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-01 02:00","2024","03","01","02:00","","-10.4","","-16.2","","62","","","","28","","14","","","","101.38","","","","-17","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-01 03:00","2024","03","01","03:00","","-10.8","","-16.4","","64","","","","28","","16","","","","101.43","","","","-18","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-01 04:00","2024","03","01","04:00","","-11.5","","-17.4","","62","","","","29","","17","","","","101.55","","","","-19","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-01 05:00","2024","03","01","05:00","","-12.1","","-18.4","","59","","","","30","","16","","","","101.68","","","","-20","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-01 06:00","2024","03","01","06:00","","-12.5","","-18.8","","59","","","","30","","13","","","","101.79","","","","-19","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-01 07:00","2024","03","01","07:00","","-13.0","","-18.6","","63","","","","29","","16","","","","101.91","","","","-21","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-01 08:00","2024","03","01","08:00","","-12.5","","-18.9","","59","","","","29","","16","","","","102.04","","","","-20","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-01 09:00","2024","03","01","09:00","","-11.7","","-19.2","","54","","","","29","","17","","","","102.10","","","","-19","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-01 10:00","2024","03","01","10:00","","-11.2","","-19.3","","51","","","","30","","18","","","","102.17","","","","-19","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-01 11:00","2024","03","01","11:00","","-10.4","","-18.3","","52","","","","29","","17","","","","102.20","","","","-18","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-01 12:00","2024","03","01","12:00","","-9.6","","-19.7","","44","","","","28","","21","","","","102.18","","","","-18","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-01 13:00","2024","03","01","13:00","","-8.2","","-19.1","","41","","","","26","","22","","","","102.15","","","","-16","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-01 14:00","2024","03","01","14:00","","-6.7","","-18.6","","38","","","","26","","21","","","","102.16","","","","-14","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-01 15:00","2024","03","01","15:00","","-6.8","","-18.2","","40","","","","27","","24","","","","102.18","","","","-14","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-01 16:00","2024","03","01","16:00","","-6.4","","-17.3","","42","","","","26","","24","","","","102.20","","","","-14","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-01 17:00","2024","03","01","17:00","","-6.0","","-16.8","","42","","","","27","","18","","","","102.24","","","","-12","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-01 18:00","2024","03","01","18:00","","-6.8","","-16.6","","46","","","","27","","22","","","","102.29","","","","-14","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-01 19:00","2024","03","01","19:00","","-6.7","","-14.8","","53","","","","26","","18","","","","102.34","","","","-13","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-01 20:00","2024","03","01","20:00","","-6.5","","-13.5","","58","","","","26","","13","","","","102.40","","","","-12","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-01 21:00","2024","03","01","21:00","","-6.1","","-12.6","","60","","","","27","","13","","","","102.48","","","","-11","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-01 22:00","2024","03","01","22:00","","-5.9","","-12.1","","61","","","","27","","12","","","","102.53","","","","-11","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-01 23:00","2024","03","01","23:00","","-6.2","","-11.6","","66","","","","24","","12","","","","102.54","","","","-11","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-02 00:00","2024","03","02","00:00","","-6.2","","-11.2","","68","","","","24","","11","","","","102.57","","","","-11","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-02 01:00","2024","03","02","01:00","","-5.7","","-10.5","","69","","","","24","","12","","","","102.61","","","","-11","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-02 02:00","2024","03","02","02:00","","-5.3","","-9.5","","72","","","","24","","11","","","","102.64","","","","-10","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-02 03:00","2024","03","02","03:00","","-5.0","","-8.9","","74","","","","24","","10","","","","102.65","","","","-9","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-02 04:00","2024","03","02","04:00","","-4.6","","-8.4","","75","","","","25","","9","","","","102.69","","","","-8","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-02 05:00","2024","03","02","05:00","","-4.1","","-7.3","","78","","","","25","","11","","","","102.73","","","","-9","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-02 06:00","2024","03","02","06:00","","-3.1","","-5.9","","81","","","","24","","7","","","","102.77","","","","-6","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-02 07:00","2024","03","02","07:00","","-3.9","","-6.3","","84","","","","21","","3","","","","102.77","","","","-5","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-02 08:00","2024","03","02","08:00","","-1.8","","-4.0","","85","","","","","","0","","","","102.79","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-02 09:00","2024","03","02","09:00","","0.6","","-1.9","","83","","0.0","","24","","15","","","","102.80","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-02 10:00","2024","03","02","10:00","","2.6","","-1.5","","75","","0.0","","24","","12","","","","102.81","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-02 11:00","2024","03","02","11:00","","3.7","","-1.1","","71","","0.0","","23","","9","","","","102.79","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-02 12:00","2024","03","02","12:00","","4.6","","-0.3","","70","","0.0","","21","","12","","","","102.76","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-02 13:00","2024","03","02","13:00","","5.4","","-0.3","","66","","0.0","","22","","13","","","","102.68","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-02 14:00","2024","03","02","14:00","","5.9","","-1.1","","60","","0.0","","23","","18","","","","102.64","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-02 15:00","2024","03","02","15:00","","5.2","","-1.0","","65","","0.0","","23","","17","","","","102.62","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-02 16:00","2024","03","02","16:00","","4.8","","-1.3","","64","","0.0","","23","","18","","","","102.61","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-02 17:00","2024","03","02","17:00","","3.9","","-0.9","","71","","0.0","","23","","17","","","","102.60","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-02 18:00","2024","03","02","18:00","","3.3","","-1.8","","69","","0.0","","23","","16","","","","102.62","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-02 19:00","2024","03","02","19:00","","3.2","","-1.4","","72","","0.0","","23","","15","","","","102.63","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-02 20:00","2024","03","02","20:00","","3.5","","-1.6","","69","","0.0","","23","","15","","","","102.61","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-02 21:00","2024","03","02","21:00","","3.0","","-0.2","","80","","0.0","","23","","11","","","","102.63","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-02 22:00","2024","03","02","22:00","","2.8","","0.3","","84","","0.0","","22","","8","","","","102.67","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-02 23:00","2024","03","02","23:00","","2.8","","0.6","","85","","0.0","","","","0","","","","102.62","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-03 00:00","2024","03","03","00:00","","4.0","","1.7","","85","","0.0","","23","","10","","","","102.57","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-03 01:00","2024","03","03","01:00","","4.4","","2.1","","85","","0.0","","23","","14","","","","102.54","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-03 02:00","2024","03","03","02:00","","4.4","","2.0","","84","","0.0","","23","","11","","","","102.51","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-03 03:00","2024","03","03","03:00","","4.1","","1.8","","85","","0.0","","22","","5","","","","102.45","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-03 04:00","2024","03","03","04:00","","3.8","","1.5","","85","","0.0","","","","0","","","","102.38","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-03 05:00","2024","03","03","05:00","","3.9","","1.8","","86","","0.0","","","","0","","","","102.37","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-03 06:00","2024","03","03","06:00","","3.8","","1.7","","87","","0.0","","12","","6","","","","102.34","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-03 07:00","2024","03","03","07:00","","3.9","","2.0","","87","","0.0","","11","","5","","","","102.29","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-03 08:00","2024","03","03","08:00","","5.5","","5.0","","97","","0.2","","17","","3","","","","102.27","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-03 09:00","2024","03","03","09:00","","6.4","","6.1","","98","","1.2","","18","","7","","","","102.25","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-03 10:00","2024","03","03","10:00","","6.7","","6.7","","100","","1.2","","18","","5","","","","102.20","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-03-03 11:00","2024","03","03","11:00","","6.8","","6.8","","100","","0.6","","15","","4","","","","102.14","","","","","","NA"
